category,کاربر جدید قبضت,کاربر جدید خلافی خودرو,کاربر جدید شارژت اپ,ثبت نام قبضت,ثبت نام خلافی خودرو,ثبت نام شارژت اپ,درخواست ورود قبضت,درخواست ورود خلافی خودرو,درخواست ورود شارژت اپ
Tue Jun 16 1401,0,0,0,0,0,0,0,0,0
Mon Jun 15 1401,1,0,0,1,0,0,1,1,0
Sun Jun 14 1401,0,0,0,0,0,0,0,0,0
Sat Jun 13 1401,0,0,0,0,0,0,0,0,0
Fri Jun 12 1401,0,0,0,0,0,0,0,0,0
Thu Jun 11 1401,0,0,0,0,0,0,0,0,0
Wed Jun 10 1401,0,0,0,0,0,0,0,0,0
Tue Jun 09 1401,0,0,0,1,0,0,1,1,1
Mon Jun 08 1401,0,0,0,0,0,0,0,0,0
Sun Jun 07 1401,0,0,0,0,0,0,0,0,0
Sat Jun 06 1401,0,0,0,0,0,1,0,3,0
Fri Jun 05 1401,0,0,0,0,0,0,0,0,0
Thu Jun 04 1401,0,0,0,0,0,0,0,0,0
Wed Jun 03 1401,0,0,0,0,0,0,0,0,0
Tue Jun 02 1401,0,1,0,0,0,0,0,0,0
Mon Jun 01 1401,0,0,0,0,0,0,0,0,0
Sun May 31 1401,0,0,0,0,0,0,0,0,0
Sat May 30 1401,0,0,0,0,0,0,0,0,0
Fri May 29 1401,0,6,0,1,0,2,0,2,0
Thu May 28 1401,0,1,0,0,0,0,0,0,0
Wed May 27 1401,0,0,0,0,0,0,0,0,0
Tue May 26 1401,0,0,0,0,0,0,0,0,0
Mon May 25 1401,0,0,0,0,0,0,0,0,0
Sun May 24 1401,0,0,0,0,0,0,0,0,0
Sat May 23 1401,0,0,0,0,0,0,0,0,0
Fri May 22 1401,0,0,0,0,0,0,0,0,0
Thu May 21 1401,0,0,0,0,0,0,0,0,0
Wed May 20 1401,0,0,0,0,0,0,0,0,0
Tue May 19 1401,0,0,0,0,0,0,0,0,0
Mon May 18 1401,0,0,0,0,0,0,0,0,0
Sun May 17 1401,0,0,0,0,0,0,0,0,0